,Chemform,N,RMSAD (SQS)
166,V7Nb2Ti8Ta7,4,0.173291283
167,Hf2Ta5Ti8V9,4,0.197795475
168,V13Nb2Hf3Ta6,4,0.157057145
169,Ti13Nb4Hf2Ta5,4,0.215848886
170,Ti5HfVTa5,4,0.172715748
171,Ti13Hf7V2Nb2,4,0.325203902
172,VMoHf2,3,0.23838416
173,VMoW,3,0.034549943
174,VMoW2,3,0.036368997
175,WVMoRu,4,0.100305379
176,W3VMoRu,4,0.064591781
177,VNb3Ta2Mo2Re2,5,0.063570967
178,VNb3Ta2Mo2W2,5,0.05584617
179,VNbMo,3,0.07272981
180,VNbMo2,3,0.048623123
181,VNbTa,3,0.101989138
182,VNbTa2,3,0.086865995
183,VNbTaMoRe,5,0.058886045
184,VNbTaMoW,5,0.07435891
185,WVNbRu,4,0.085443843
186,W3VNbRu,4,0.061963898
187,VNb2W2Ru,4,0.059095387
188,VReNbRuTa,5,0.093416054
189,VTi3Hf2Ta2W2,5,0.178029066
190,VTi3W2Ta2Mo2,5,0.097940627
191,VW3Ru2Nb2Ta2,5,0.078502672
192,WV7,2,0.043351068
193,WV3,2,0.046456823
194,VW,2,0.043510273
195,VW3,2,0.02742765
196,VW7,2,0.02658228
197,VZr3Mo2Hf2W2,5,0.238769249
198,VZrReWRu,5,0.130007391
199,WHf3V2Ta2Ti2,5,0.235125451
200,WNbZr2,3,0.174642742
201,ReW7,2,0.016728941
202,ReW3,2,0.027058413
203,WRu3Nb2Ta2V2,5,0.119822487
204,RuW7,2,0.063146543
205,WTi3Hf2Ta2V2,5,0.193402801
206,WTi3Mo2V2Ta2,5,0.107243044
207,WTiNbTaV,5,0.097072621
208,WV3Nb2Ta2Mo2,5,0.081185586
209,WVMo2,3,0.049078746
210,ZrHf3V2Mo2W2,5,0.176459399
211,ZrNb,2,0.164481519
212,ZrWNb,3,0.125631433
213,ZrWNb2,3,0.112271236
